Subject,Year,URL,Understanding of the learning area,Description/Achievement,Content description,Page count WRT PDF's,Count of pages(330 words per page)
English,Foundation Year,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/english/foundation-year?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,4535,517,21968,66,81
English,Year 1,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/english/year-1?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,4535,643,25707,73,93
English,Year 2,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/english/year-2?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,4535,583,27826,76,99
English,Year 3,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/english/year-3?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,4535,527,30102,82,106
English,Year 4,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/english/year-4?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,4535,523,28876,78,102
English,Year 5,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/english/year-5?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,4535,522,25380,69,92
English,Year 6,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/english/year-6?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,4535,514,23267,66,85
English,Year 7,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/english/year-7?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,4535,478,22498,66,83
English,Year 8,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/english/year-8?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,4535,506,22788,66,84
English,Year 9,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/english/year-9?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,4535,549,16353,52,64
English,Year 10,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/english/year-10?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,4535,574,23038,72,85
Mathematics,Foundation Year,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/mathematics/foundation-year?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,5041,380,18135,52,71
Mathematics,Year 1,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/mathematics/year-1?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,5041,457,33799,80,119
Mathematics,Year 2,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/mathematics/year-2?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,5041,518,38533,85,133
Mathematics,Year 3,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/mathematics/year-3?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,5041,586,38926,88,135
Mathematics,Year 4,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/mathematics/year-4?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,5041,555,42425,97,145
Mathematics,Year 5,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/mathematics/year-5?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,5041,532,40690,91,140
Mathematics,Year 6,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/mathematics/year-6?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,5041,555,39126,89,135
Mathematics,Year 7,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/mathematics/year-7?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,5041,685,48513,114,164
Mathematics,Year 8,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/mathematics/year-8?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,5041,700,57375,131,191
Mathematics,Year 9,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/mathematics/year-9?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,5041,698,60671,133,201
Mathematics,Year 10,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/mathematics/year-10?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,5041,621,52578,136,176
Science,Foundation Year,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/science/foundation-year?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,5883,291,18632,59,75
Science,Year 1,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/science/year-1?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,5883,314,24901,68,94
Science,Year 2,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/science/year-2?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,5883,381,27450,75,102
Science,Year 3,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/science/year-3?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,5883,384,37479,95,132
Science,Year 4,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/science/year-4?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,5883,397,32212,82,116
Science,Year 5,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/science/year-5?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,5883,384,32068,82,116
Science,Year 6,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/science/year-6?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,5883,413,33563,86,120
Science,Year 7,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/science/year-7?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,5883,490,42961,110,149
Science,Year 8,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/science/year-8?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,5883,494,52576,131,178
Science,Year 9,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/science/year-9?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,5883,493,56441,141,190
Science,Year 10,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/science/year-10?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,5883,511,58390,149,196
Health and Physical Education,Foundation Year,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/health-and-physical-education/foundation-year?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,5500,337,3747,24,29
Health and Physical Education,Year 1,https://v9.australiancurriculum.edu.au/f-10-curriculum/learning-areas/health-and-physical-education/year-1?view=quick&detailed-content-descriptions=0&hide-ccp=0&hide-gc=0&side-by-side=1&strands-start-index=0,5500,392,4905,26,32
